,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,UID,code3,first_year_cases,case_class_low,case_class_high
first_year_cases,0.035713417,0.971716525,0.95527021,0.957047979,0.960982493,0.964634282,0.205317988,0.964682536,0.95194116,0.96984442,0.955798836,0.957669351,0.961719502,0.922274135,0.849833723,0.566313445,0.907212029,0.619927631,0.857215694,-0.050445814,0.021974945,0.205317988,-0.016593721,-0.198979228,0.053726451,-0.20809155,0.086411926,0.230050589,0.303520758,0.438283431,-0.198330686,0.143182074,0.137864385,-0.059904532,-0.040045756,0.051999515,-0.187974204,-0.009347062,-0.054128072,-0.052969063,-0.224650933,0.06296186,-0.222946941,0.107389041,-0.153306338,-0.155149492,0.213449631,0.249846268,0.261747286,0.253868375,0.301062432,-0.240623963,0.143573895,0.096140311,-0.025731219,0.115953305,0.124051149,0.042077274,0.044337966,-0.044872427,-0.03443343,-0.065582974,-0.040747896,-0.062276662,-0.069135116,0.034011852,-0.075036867,0.010382727,-0.047931968,0.186250572,0.275567232,0.278190592,0.383069197,-0.069652014,0.155107517,0.078156598,-0.063385285,0.199175304,0.099687127,0.929245551,-0.016974384,-0.246328017,0.958482495,-0.058448895,,1,-0.01446303,0.020368661
case_class_low,-0.033929279,0.027844956,0.038434601,0.03706706,0.019994442,0.029361216,0.110024559,0.007976948,0.039283311,0.019015028,0.038739463,0.029535873,0.009458744,-0.005574344,0.026412266,0.044589648,0.004858093,0.032457907,0.032708297,-0.06878933,0.025105628,0.110024559,-0.140972249,0.126507561,-0.197426929,0.050777551,-0.095624874,-0.10056708,-0.124504589,0.014916056,0.001817173,-0.141142252,0.005925508,-0.139752595,-0.046354101,0.074517299,-0.11854035,-0.118781732,-0.061162321,-0.058555998,0.125481485,-0.18028397,0.056562843,-0.08651664,-0.04674395,-0.040949182,-0.088992685,-0.063011153,-0.085419019,-0.082094368,0.004025734,-6.02E-05,-0.119082547,0.039138606,-0.09443449,-0.072010366,-0.070751221,-0.089769766,-0.087635548,-0.052742414,-0.035170948,-0.123408427,-0.123028279,-0.1121765,0.073628929,-0.177242559,-0.000490043,-0.071441415,-0.085579776,-0.091406173,-0.091376575,-0.110029219,0.02801487,-0.008340503,-0.138430194,-0.002820344,-0.090813925,-0.086783799,-0.136558994,0.005884678,-0.118262812,-0.100831169,0.029339388,-0.070586586,,-0.01446303,1,-0.972220511
case_class_high,0.017374568,-0.02429366,-0.034543858,-0.033185606,-0.016453516,-0.025731806,-0.103925922,-0.004442759,-0.035155325,-0.015990505,-0.034432453,-0.025426954,-0.006310601,0.008010744,-0.023863335,-0.037697126,-0.002908482,-0.030139898,-0.027323757,0.081209661,-0.013652934,-0.103925922,0.160565073,-0.115398653,0.163677005,-0.036318216,0.114293577,0.112985123,0.129466373,-0.010003715,0.002829348,0.137235197,0.008156636,0.145357611,0.058177717,-0.06331921,0.111005,0.139096016,0.071653067,0.068932368,-0.114276261,0.158363339,-0.039801463,0.10421225,0.059891491,0.055325412,0.097819701,0.057714417,0.08723949,0.08372418,0.002265328,0.005186835,0.108536904,-0.016944671,0.102867007,0.085170269,0.08322114,0.103426115,0.10168644,0.060592695,0.042675137,0.126760401,0.132262928,0.121537629,-0.07136982,0.139925186,0.004308442,0.079635656,0.074334506,0.100005822,0.100036326,0.120418945,-0.021706683,0.012346385,0.132695461,0.00961417,0.093441551,0.092591008,0.142009012,-0.003030081,0.110480688,0.087930073,-0.025714117,0.049511073,,0.020368661,-0.972220511,1
