REGION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
3,VIRGINIA,Williamsburg city,15425,15445,15590,20,145,17,78,55,146,-38,-68,0,17,57,196,57,213,5.02658289,9.408732077,-4.382149186,1.095537297,12.6309006,13.72643789
3,VIRGINIA,Winchester city,28120,28008,28136,-112,128,87,345,68,294,19,51,-2,48,-129,22,-131,70,12.28982616,10.47306925,1.816756911,1.709888857,0.78369906,2.493587917
4,WASHINGTON,Washington,7705281,7718785,7738692,13504,19907,21077,81193,17643,70836,3434,10357,554,9233,9437,-29,9991,9204,10.50533667,9.16527322,1.340063453,1.194632216,-0.003752229,1.190879986
4,WASHINGTON,Adams County,20613,20605,20621,-8,16,84,352,28,142,56,210,4,49,-68,-246,-64,-197,17.07660214,6.888856547,10.1877456,2.377140639,-11.93421627,-9.557075632
4,WASHINGTON,Asotin County,22285,22290,22397,5,107,47,223,88,325,-41,-102,0,2,48,207,48,209,9.980531251,14.54561729,-4.565086043,0.089511491,9.264439322,9.353950813
4,WASHINGTON,Benton County,206873,207230,210025,357,2795,604,2447,522,1926,82,521,5,100,267,2166,272,2266,11.7290386,9.231764748,2.497273849,0.479323196,10.38214042,10.86146361
4,WASHINGTON,Chelan County,79074,79185,79646,111,461,202,815,192,817,10,-2,3,-2,102,460,105,458,10.26248025,10.28766425,-0.025184001,-0.025184001,5.792320139,5.767136138
4,WASHINGTON,Clallam County,77155,77280,78209,125,929,146,575,288,1227,-142,-652,3,35,277,1566,280,1601,7.396021584,15.78246693,-8.386445343,0.450192618,20.142904,20.59309662
4,WASHINGTON,Clark County,503311,505013,511404,1702,6391,1374,5332,1184,4708,190,624,9,223,1494,5515,1503,5738,10.49175683,9.263914319,1.22784251,0.438796281,10.85184526,11.29064154
4,WASHINGTON,Columbia County,3952,3949,4042,-3,93,10,33,20,43,-10,-10,1,9,8,94,9,103,8.259291703,10.76210737,-2.502815668,2.252534101,23.52646728,25.77900138
4,WASHINGTON,Cowlitz County,110730,110924,111524,194,600,332,1186,380,1388,-48,-202,2,22,244,770,246,792,10.66316622,12.47932101,-1.816154787,0.197799036,6.922966266,7.120765303
4,WASHINGTON,Douglas County,42938,42998,43696,60,698,131,469,98,396,33,73,3,38,24,589,27,627,10.81966457,9.135580317,1.68408425,0.876646596,13.58802224,14.46466884
4,WASHINGTON,Ferry County,7178,7178,7273,0,95,15,68,38,91,-23,-23,0,0,24,120,24,120,9.411113418,12.59428413,-3.183170715,0,16.60784721,16.60784721
4,WASHINGTON,Franklin County,96749,97076,98268,327,1192,361,1481,160,578,201,903,8,131,109,134,117,265,15.16299451,5.917765583,9.24522893,1.341223687,1.371938734,2.713162421
4,WASHINGTON,Garfield County,2286,2292,2346,6,54,7,18,7,24,0,-6,0,0,7,61,7,61,7.761966365,10.34928849,-2.587322122,0,26.30444157,26.30444157
4,WASHINGTON,Grant County,99123,99365,100297,242,932,359,1329,227,885,132,444,18,86,89,382,107,468,13.31249812,8.864981819,4.447516303,0.86145586,3.826466729,4.687922589
4,WASHINGTON,Grays Harbor County,75636,75811,76841,175,1030,168,694,267,1077,-99,-383,0,-4,278,1428,278,1424,9.092576579,14.1105259,-5.017949323,-0.052406781,18.70922097,18.65681419
4,WASHINGTON,Island County,86857,86948,87432,91,484,202,791,237,905,-35,-114,1,16,137,588,138,604,9.072141301,10.37963069,-1.307489391,0.183507283,6.743892648,6.927399931
4,WASHINGTON,Jefferson County,32977,33048,33605,71,557,36,164,108,473,-72,-309,0,16,152,863,152,879,4.921008807,14.19290955,-9.27190074,0.48009842,25.89530854,26.37540696
