GEO_ID,STATE,COUNTY,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
0500000US01091,01,091,"Marengo County, Alabama",18794,4654,1950,24.76,10.37,7296,2201,38.82,11.71,6844,2099,36.42,11.17
0500000US01093,01,093,"Marion County, Alabama",29285,8302,3020,28.35,10.31,13290,3217,45.38,10.98,7693,2907,26.27,9.93
0500000US01095,01,095,"Marshall County, Alabama",96357,30492,7717,31.64,8.01,40133,8353,41.65,8.67,25732,7535,26.70,7.82
0500000US01097,01,097,"Mobile County, Alabama",409100,130178,43213,31.82,10.56,172950,45525,42.28,11.13,105972,39449,25.90,9.64
0500000US01099,01,099,"Monroe County, Alabama",20678,5156,2310,24.93,11.17,7683,2566,37.16,12.41,7839,2421,37.91,11.71
0500000US01101,01,101,"Montgomery County, Alabama",219377,66055,23954,30.11,10.92,92203,26701,42.03,12.17,61119,24282,27.86,11.07
0500000US01103,01,103,"Morgan County, Alabama",118554,36978,11444,31.19,9.65,52282,12244,44.10,10.33,29294,10924,24.71,9.21
0500000US01105,01,105,"Perry County, Alabama",8349,1935,1065,23.18,12.76,3334,1251,39.93,14.98,3080,1225,36.89,14.67
0500000US01107,01,107,"Pickens County, Alabama",18216,4115,1695,22.59,9.31,7662,1895,42.06,10.40,6439,1796,35.35,9.86
0500000US01109,01,109,"Pike County, Alabama",31132,9048,3097,29.06,9.95,14258,3381,45.80,10.86,7826,3094,25.14,9.94
0500000US01111,01,111,"Randolph County, Alabama",22498,7317,2281,32.52,10.14,8321,2480,36.99,11.02,6860,2294,30.49,10.20
0500000US01113,01,113,"Russell County, Alabama",57670,18909,6128,32.79,10.63,23747,6416,41.18,11.12,15014,5557,26.03,9.64
0500000US01115,01,115,"St. Clair County, Alabama",88245,29080,8276,32.95,9.38,39201,8745,44.42,9.91,19964,7709,22.62,8.74
0500000US01117,01,117,"Shelby County, Alabama",215942,92124,21625,42.66,10.01,86509,22037,40.06,10.20,37309,18170,17.28,8.41
0500000US01119,01,119,"Sumter County, Alabama",11680,2586,1317,22.14,11.27,4552,1514,38.97,12.96,4542,1462,38.89,12.52
0500000US01121,01,121,"Talladega County, Alabama",77874,21111,7533,27.11,9.67,32746,8233,42.05,10.57,24017,7618,30.84,9.78
0500000US01123,01,123,"Tallapoosa County, Alabama",40221,10667,3907,26.52,9.71,16669,4285,41.44,10.65,12885,4000,32.04,9.95
0500000US01125,01,125,"Tuscaloosa County, Alabama",200924,70160,20905,34.92,10.40,82045,21995,40.83,10.95,48719,18983,24.25,9.45
0500000US01127,01,127,"Walker County, Alabama",63156,18642,6106,29.52,9.67,25330,6498,40.11,10.29,19184,5830,30.38,9.23
0500000US01129,01,129,"Washington County, Alabama",16259,5665,1808,34.84,11.12,5373,1970,33.05,12.12,5221,1836,32.11,11.29
0500000US01131,01,131,"Wilcox County, Alabama",10335,2447,1008,23.68,9.76,3513,1175,33.99,11.36,4375,1140,42.33,11.03
0500000US01133,01,133,"Winston County, Alabama",23573,7156,2398,30.36,10.17,8385,2552,35.57,10.83,8032,2308,34.07,9.79
0500000US02013,02,013,"Aleutians East Borough, Alaska",3337,356,304,10.67,9.10,1660,347,49.75,10.40,1321,297,39.59,8.91
0500000US02016,02,016,"Aleutians West Census Area, Alaska",5632,1087,518,19.30,9.20,3516,574,62.43,10.20,1029,452,18.27,8.03
0500000US02020,02,020,"Anchorage Municipality, Alaska",286703,100889,30513,35.19,10.64,138615,31778,48.35,11.08,47199,23748,16.46,8.28
0500000US02050,02,050,"Bethel Census Area, Alaska",18183,1737,1208,9.55,6.64,7594,1595,41.76,8.77,8852,1483,48.68,8.16
0500000US02060,02,060,"Bristol Bay Borough, Alaska",836,218,113,26.08,13.48,364,133,43.54,15.96,254,117,30.38,14.03
0500000US02068,02,068,"Denali Borough, Alaska",2097,501,290,23.89,13.81,1250,312,59.61,14.87,346,235,16.50,11.21
0500000US02070,02,070,"Dillingham Census Area, Alaska",4914,374,373,7.61,7.59,2411,488,49.06,9.93,2129,454,43.33,9.25
0500000US02090,02,090,"Fairbanks North Star Borough, Alaska",95680,33512,9966,35.03,10.42,46473,10646,48.57,11.13,15695,8066,16.40,8.43
0500000US02100,02,100,"Haines Borough, Alaska",2530,467,353,18.46,13.96,1223,393,48.34,15.55,840,330,33.20,13.06
0500000US02105,02,105,"Hoonah-Angoon Census Area, Alaska",2148,232,254,10.80,11.84,1075,304,50.05,14.17,841,276,39.15,12.87
0500000US02110,02,110,"Juneau City and Borough, Alaska",31315,11588,3308,37.00,10.56,13911,3505,44.42,11.19,5816,2709,18.57,8.65
0500000US02122,02,122,"Kenai Peninsula Borough, Alaska",57717,13788,5710,23.89,9.89,32342,6271,56.04,10.86,11587,5083,20.08,8.81
0500000US02130,02,130,"Ketchikan Gateway Borough, Alaska",13802,4205,1204,30.47,8.72,6641,1347,48.12,9.76,2956,1118,21.42,8.10
0500000US02150,02,150,"Kodiak Island Borough, Alaska",12935,3382,1616,26.15,12.49,7122,1791,55.06,13.84,2431,1436,18.79,11.10
0500000US02158,02,158,"Kusilvak Census Area, Alaska",8314,395,602,4.75,7.24,3134,852,37.70,10.24,4785,809,57.55,9.73
0500000US02164,02,164,"Lake and Peninsula Borough, Alaska",1592,214,168,13.44,10.58,747,210,46.92,13.18,631,192,39.64,12.07
0500000US02170,02,170,"Matanuska-Susitna Borough, Alaska",106841,30364,8948,28.42,8.37,57605,9651,53.92,9.03,18872,7448,17.66,6.97
0500000US02180,02,180,"Nome Census Area, Alaska",9882,918,639,9.29,6.46,4358,825,44.10,8.35,4606,761,46.61,7.70
0500000US02185,02,185,"North Slope Borough, Alaska",9799,1140,840,11.63,8.57,6053,1026,61.77,10.47,2606,907,26.59,9.26
0500000US02188,02,188,"Northwest Arctic Borough, Alaska",7575,545,494,7.19,6.53,3356,652,44.30,8.61,3674,607,48.50,8.02
0500000US02195,02,195,"Petersburg Borough, Alaska",3266,662,318,20.27,9.75,1969,357,60.29,10.94,635,300,19.44,9.19
0500000US02198,02,198,"Prince of Wales-Hyder Census Area, Alaska",6203,998,556,16.09,8.96,2890,667,46.59,10.76,2315,601,37.32,9.69
0500000US02220,02,220,"Sitka City and Borough, Alaska",8477,2304,787,27.18,9.28,4451,877,52.51,10.35,1722,727,20.31,8.58
0500000US02230,02,230,"Skagway Municipality, Alaska",1183,381,143,32.21,12.11,531,155,44.89,13.10,271,122,22.91,10.35
0500000US02240,02,240,"Southeast Fairbanks Census Area, Alaska",6893,1771,734,25.69,10.65,3552,807,51.53,11.71,1570,647,22.78,9.39
0500000US02261,02,261,"Valdez-Cordova Census Area, Alaska",9174,2221,972,24.21,10.59,4386,1067,47.81,11.63,2567,860,27.98,9.37
0500000US02275,02,275,"Wrangell City and Borough, Alaska",2502,393,274,15.71,10.94,1655,316,66.15,12.63,454,277,18.15,11.07
0500000US02282,02,282,"Yakutat City and Borough, Alaska",579,108,73,18.65,12.57,297,88,51.30,15.23,174,81,30.05,13.97
0500000US02290,02,290,"Yukon-Koyukuk Census Area, Alaska",5230,508,419,9.71,8.01,2136,540,40.84,10.33,2586,507,49.45,9.69
0500000US04001,04,001,"Apache County, Arizona",71232,7439,4556,10.44,6.40,26169,6792,36.74,9.53,37624,6648,52.82,9.33
