county_fips,dem_pct
01001,27.018365142239826
01003,22.409029987509005
01005,45.78817265639856
01007,20.698280354351226
01009,9.569377990430622
01011,74.70192933015392
01013,41.78962900505902
01015,29.845242531824333
01017,41.644857367181366
01019,13.202178684659785
01021,15.91403417918177
01023,41.89442658092176
01025,43.81423677198325
01027,18.282828282828284
01029,9.339975093399751
01031,22.78787878787879
01033,29.91823854263788
01035,46.04875019406924
01037,32.779704325606865
01039,15.611015490533564
01041,25.691400936980507
01043,10.699863802537573
01045,26.193130003039823
01047,68.46171070309002
01049,14.583049461779535
01051,25.26687789422374
01053,30.91137649277184
01055,24.23524974857526
01057,15.91375770020534
01059,16.584512641119414
01061,12.714228776404942
01063,81.34031413612566
01065,59.0253164556962
01067,28.02753280275328
01069,27.975223615532883
01071,15.726011169402607
01073,55.758513171785616
01075,13.596552203531212
01077,26.872505018155575
01079,22.219449815981534
01081,38.992848045459
01083,27.768863613283234
01085,72.74323335771763
01087,81.48572738736674
01089,44.81560017867503
01091,50.348623853211
01093,10.596074454986601
01095,14.98676081200353
01097,43.38953069380446
01099,41.76040494938133
01101,65.08941990538537
01103,24.634228062990953
01105,73.80497131931166
01107,41.60115846090194
01109,40.719601184885484
01111,20.32850419857894
01113,52.64194289465047
01115,17.425350464661012
01117,28.941278816876903
01119,73.88332538547131
01121,36.83930123657572
01123,27.911962269544087
01125,41.88107172958346
01127,15.508501764517163
01129,25.4393871113114
01131,68.57530069456209
01133,8.631690889755406
02001,47.53896636587367
02002,34.289439374185136
02003,22.695289206917113
02004,50.85148891637332
02005,48.57869193436561
02006,34.5877378435518
02007,23.020162128455624
02008,19.703389830508474
02009,25.188756481397252
02010,24.337349397590362
02011,29.450508091832894
02012,26.312511122975618
02013,34.56502009594192
02014,37.23673861749541
02015,47.16675661090124
02016,52.64843557526484
02017,57.13496339273381
02018,60.634715025906736
02019,58.81909073759668
02020,65.10604241696679
02021,57.418602184749176
02022,47.825630252100844
02023,49.23116681741827
02024,45.41618718833909
02025,49.32975871313673
02026,45.079616259519334
02027,50.95729013254786
02028,49.13326535414542
02029,27.775193077137807
02030,25.92374213836478
02031,40.588235294117645
02032,42.063587282543494
02033,68.7813783660429
02034,53.714232454096376
02035,49.60403880419719
02036,40.85234610417564
02037,49.786075457020615
02038,60.42649556520098
02039,60.770667119334576
02040,50.35846187269172
02099,86.14318706697459
04001,22.075325069183823
04003,13.088029295302384
04005,20.33427957928449
04007,10.77651652085894
04009,8.967433588974103
04011,10.691994572591588
04012,9.993742737105569
04013,16.774686224299018
04015,7.907861046356097
04017,15.056567568785779
04019,19.53514976706886
04021,13.534514760633026
04023,22.393809231608373
04025,11.54439642231237
04027,15.364214402579623
05001,7.223458359821996
05003,6.70262427453949
05005,5.516018470033798
05007,8.808334445259858
05009,4.475867710646255
05011,8.305966064586755
05013,5.488084326306141
05015,8.52547257777401
05017,13.77041189373629
05019,10.238237045860632
05021,4.640169785838317
05023,3.9195583596214516
05025,4.520833333333334
05027,8.165041782729805
05029,7.527345998848589
05031,7.738698034327854
05033,5.146112656178656
05035,13.00482678560518
05037,6.381446269086719
05039,9.088335220838053
05041,12.103746397694524
05043,8.779675738274465
05045,8.427188211949732
05047,4.558844157665872
05049,5.054698183238914
05051,7.944184257562388
05053,3.8658536585365852
05055,4.748447204968944
05057,7.805198598130842
05059,6.136019749940273
05061,6.930078609846918
05063,4.833930540242558
05065,4.39328743545611
05067,6.703005303476724
05069,14.886914699101677
05071,6.009159823120657
05073,7.829413960432998
05075,4.6098685333788625
05077,12.49122191011236
05079,6.658064516129032
05081,5.920417230056017
05083,4.693009118541033
05085,5.4513730350270695
05087,5.315603319276288
05089,5.1012928162068505
05091,6.420533607598767
05093,9.23270134500081
05095,10.182883522727272
05097,4.718564420345985
05099,8.010720667063728
05101,4.433466733366683
05103,10.372312805068024
05105,5.467905770477631
05107,14.510573534123678
05109,3.7918040508714084
05111,4.733413109958782
05113,3.669022379269729
05115,5.906188605108055
05117,4.6781115879828326
05119,14.996087222575255
05121,4.459042865531416
05123,12.675858187957232
05125,7.048929932056391
05127,3.4004505773021685
05129,3.657626275192834
05131,7.682965634280865
05133,5.3633217993079585
05135,4.619349722442506
05137,4.968002694509936
05139,8.40609381586078
05141,5.101191238631997
05143,11.622430144484756
05145,4.838918568884572
05147,8.64297253634895
05149,4.761904761904762
06001,80.20816289428234
06003,64.23751686909581
06005,36.553981348637016
06007,49.40528677522387
06009,36.98277131497571
06011,40.68584348699912
06013,71.62816781234302
06015,40.836462062341745
06017,44.439948691018344
06019,52.8955899560722
06021,35.36337080640878
06023,65.02912423921096
06025,61.114146238302524
06027,48.86123998312948
06029,43.68473461472951
06031,42.6324069218668
06033,51.85686519505761
06035,23.35029615416701
06037,71.02780836068207
06039,43.11769522816943
06041,82.32561124302124
06043,39.766536964980546
06045,66.40978311029072
06047,54.10142014709455
06049,26.47939212525904
06051,59.557732264767
06053,69.51617527741683
06055,69.04643104643104
06057,56.152895752895745
06059,53.4788810029216
06061,45.459920709193305
06063,40.50621669626998
06065,52.98468845396307
06067,61.35627192249875
06069,61.14464099895942
06071,54.1960220179996
06073,60.20998125635477
06075,85.25610242744385
06077,55.85492838622908
06079,55.29258549657513
06081,77.8878346350444
06083,64.87154273506407
06085,72.6386761658366
06087,78.87901572112098
06089,32.28236306897665
06091,37.80424650440186
06093,40.869972733469666
06095,63.94060531288099
06097,74.51559163228569
06099,49.23890692892432
06101,40.725541694024955
06103,31.015279663081692
06105,45.55040741332481
06107,45.00459543180039
06109,39.39094975006577
