,FIPS,Admin2,Province_State,3/31/21
150,5061,Howard,Arkansas,1641
151,5063,Independence,Arkansas,3715
152,5065,Izard,Arkansas,1660
153,5067,Jackson,Arkansas,3207
154,5069,Jefferson,Arkansas,8742
155,5071,Johnson,Arkansas,2879
156,5073,Lafayette,Arkansas,541
157,5075,Lawrence,Arkansas,2069
158,5077,Lee,Arkansas,1656
159,5079,Lincoln,Arkansas,3178
160,5081,Little River,Arkansas,1222
161,5083,Logan,Arkansas,2206
162,5085,Lonoke,Arkansas,7049
163,5087,Madison,Arkansas,1436
164,5089,Marion,Arkansas,1032
165,5091,Miller,Arkansas,4212
166,5093,Mississippi,Arkansas,5747
167,5095,Monroe,Arkansas,862
168,5097,Montgomery,Arkansas,750
169,5099,Nevada,Arkansas,816
170,5101,Newton,Arkansas,707
171,5103,Ouachita,Arkansas,2291
172,80005,Out of AR,Arkansas,0
173,5105,Perry,Arkansas,824
174,5107,Phillips,Arkansas,1737
175,5109,Pike,Arkansas,997
176,5111,Poinsett,Arkansas,3114
177,5113,Polk,Arkansas,1961
178,5115,Pope,Arkansas,7860
179,5117,Prairie,Arkansas,887
180,5119,Pulaski,Arkansas,38317
181,5121,Randolph,Arkansas,2061
182,5125,Saline,Arkansas,11724
183,5127,Scott,Arkansas,927
184,5129,Searcy,Arkansas,671
185,5131,Sebastian,Arkansas,15036
186,5133,Sevier,Arkansas,2778
187,5135,Sharp,Arkansas,1550
188,5123,St. Francis,Arkansas,3513
189,5137,Stone,Arkansas,982
190,90005,Unassigned,Arkansas,2791
191,5139,Union,Arkansas,3938
192,5141,Van Buren,Arkansas,1245
193,5143,Washington,Arkansas,30202
194,5145,White,Arkansas,7799
195,5147,Woodruff,Arkansas,633
196,5149,Yell,Arkansas,3406
197,6001,Alameda,California,85366
198,6003,Alpine,California,88
199,6005,Amador,California,3590
200,6007,Butte,California,13078
201,6009,Calaveras,California,2017
202,6011,Colusa,California,2173
203,6013,Contra Costa,California,66306
204,6015,Del Norte,California,1135
205,6017,El Dorado,California,10050
206,6019,Fresno,California,107822
207,6021,Glenn,California,2864
208,6023,Humboldt,California,3484
209,6025,Imperial,California,30270
210,6027,Inyo,California,1376
211,6029,Kern,California,106239
212,6031,Kings,California,23670
213,6033,Lake,California,3340
214,6035,Lassen,California,5652
215,6037,Los Angeles,California,1219614
216,6039,Madera,California,16928
217,6041,Marin,California,13847
218,6043,Mariposa,California,410
219,6045,Mendocino,California,3745
220,6047,Merced,California,30736
221,6049,Modoc,California,466
222,6051,Mono,California,1257
223,6053,Monterey,California,44149
224,6055,Napa,California,9434
225,6057,Nevada,California,4468
226,6059,Orange,California,266233
227,80006,Out of CA,California,0
228,6061,Placer,California,22190
229,6063,Plumas,California,674
230,6065,Riverside,California,297412
231,6067,Sacramento,California,99239
232,6069,San Benito,California,5972
233,6071,San Bernardino,California,294735
234,6073,San Diego,California,270287
235,6075,San Francisco,California,36642
236,6077,San Joaquin,California,72047
237,6079,San Luis Obispo,California,20872
238,6081,San Mateo,California,40862
239,6083,Santa Barbara,California,34256
240,6085,Santa Clara,California,115176
241,6087,Santa Cruz,California,16165
242,6089,Shasta,California,12728
243,6091,Sierra,California,64
244,6093,Siskiyou,California,1785
245,6095,Solano,California,31221
246,6097,Sonoma,California,29496
247,6099,Stanislaus,California,58621
248,6101,Sutter,California,9197
249,6103,Tehama,California,5305
250,6105,Trinity,California,375
251,6107,Tulare,California,57349
252,6109,Tuolumne,California,4011
253,90006,Unassigned,California,0
254,6111,Ventura,California,82319
255,6113,Yolo,California,13619
256,6115,Yuba,California,5802
257,8001,Adams,Colorado,51362
258,8003,Alamosa,Colorado,1347
259,8005,Arapahoe,Colorado,51970
260,8007,Archuleta,Colorado,748
261,8009,Baca,Colorado,278
262,8011,Bent,Colorado,1483
263,8013,Boulder,Colorado,20593
264,8014,Broomfield,Colorado,4187
265,8015,Chaffee,Colorado,1503
266,8017,Cheyenne,Colorado,125
267,8019,Clear Creek,Colorado,402
268,8021,Conejos,Colorado,460
269,8023,Costilla,Colorado,203
270,8025,Crowley,Colorado,2140
271,8027,Custer,Colorado,173
272,8029,Delta,Colorado,2542
273,8031,Denver,Colorado,64378
274,8033,Dolores,Colorado,67
275,8035,Douglas,Colorado,23752
276,8037,Eagle,Colorado,5738
277,8041,El Paso,Colorado,56607
278,8039,Elbert,Colorado,1421
279,8043,Fremont,Colorado,5647
280,8045,Garfield,Colorado,5414
281,8047,Gilpin,Colorado,188
282,8049,Grand,Colorado,1335
283,8051,Gunnison,Colorado,1252
284,8053,Hinsdale,Colorado,17
285,8055,Huerfano,Colorado,335
286,8057,Jackson,Colorado,52
287,8059,Jefferson,Colorado,40391
288,8061,Kiowa,Colorado,92
289,8063,Kit Carson,Colorado,586
290,8067,La Plata,Colorado,3330
291,8065,Lake,Colorado,699
292,8069,Larimer,Colorado,22286
293,8071,Las Animas,Colorado,1040
294,8073,Lincoln,Colorado,1005
295,8075,Logan,Colorado,3830
296,8077,Mesa,Colorado,13712
297,8079,Mineral,Colorado,86
298,8081,Moffat,Colorado,699
299,8083,Montezuma,Colorado,1798
300,8085,Montrose,Colorado,3328
301,8087,Morgan,Colorado,2535
302,8089,Otero,Colorado,1885
303,8091,Ouray,Colorado,275
304,80008,Out of CO,Colorado,0
305,8093,Park,Colorado,609
306,8095,Phillips,Colorado,350
307,8097,Pitkin,Colorado,2432
308,8099,Prowers,Colorado,1169
309,8101,Pueblo,Colorado,15830
310,8103,Rio Blanco,Colorado,523
311,8105,Rio Grande,Colorado,756
312,8107,Routt,Colorado,2069
313,8109,Saguache,Colorado,334
314,8111,San Juan,Colorado,44
315,8113,San Miguel,Colorado,849
316,8115,Sedgwick,Colorado,201
317,8117,Summit,Colorado,3392
318,8119,Teller,Colorado,1419
319,90008,Unassigned,Colorado,57
320,8121,Washington,Colorado,436
321,8123,Weld,Colorado,27476
322,8125,Yuma,Colorado,839
323,9001,Fairfield,Connecticut,89598
324,9003,Hartford,Connecticut,75802
325,9005,Litchfield,Connecticut,12872
326,9007,Middlesex,Connecticut,11552
327,9009,New Haven,Connecticut,80542
328,9011,New London,Connecticut,20674
329,80009,Out of CT,Connecticut,0
330,9013,Tolland,Connecticut,8614
331,90009,Unassigned,Connecticut,1089
332,9015,Windham,Connecticut,9881
333,10001,Kent,Delaware,15527
334,10003,New Castle,Delaware,55327
335,80010,Out of DE,Delaware,0
336,10005,Sussex,Delaware,23744
337,90010,Unassigned,Delaware,204
338,88888,,Diamond Princess,49
339,11001,District of Columbia,District of Columbia,44513
340,80011,Out of DC,District of Columbia,0
341,90011,Unassigned,District of Columbia,0
342,12001,Alachua,Florida,23378
343,12003,Baker,Florida,3360
344,12005,Bay,Florida,19387
345,12007,Bradford,Florida,2921
346,12009,Brevard,Florida,37190
347,12011,Broward,Florida,214599
348,12013,Calhoun,Florida,1658
349,12015,Charlotte,Florida,11556
350,12017,Citrus,Florida,10314
351,12019,Clay,Florida,17368
352,12021,Collier,Florida,32516
353,12023,Columbia,Florida,7846
354,12027,DeSoto,Florida,4076
355,12029,Dixie,Florida,1553
356,12031,Duval,Florida,92562
357,12033,Escambia,Florida,34845
358,12035,Flagler,Florida,6685
359,12037,Franklin,Florida,1295
360,12039,Gadsden,Florida,5537
361,12041,Gilchrist,Florida,1488
362,12043,Glades,Florida,925
363,12045,Gulf,Florida,1916
364,12047,Hamilton,Florida,1589
365,12049,Hardee,Florida,2903
366,12051,Hendry,Florida,4466
367,12053,Hernando,Florida,12385
368,12055,Highlands,Florida,7655
369,12057,Hillsborough,Florida,121553
370,12059,Holmes,Florida,2212
371,12061,Indian River,Florida,11729
372,12063,Jackson,Florida,6060
373,12065,Jefferson,Florida,1432
374,12067,Lafayette,Florida,1606
375,12069,Lake,Florida,26679
376,12071,Lee,Florida,62713
377,12073,Leon,Florida,30307
378,12075,Levy,Florida,3094
379,12077,Liberty,Florida,1055
380,12079,Madison,Florida,2032
381,12081,Manatee,Florida,34769
382,12083,Marion,Florida,29044
383,12085,Martin,Florida,11371
384,12086,Miami-Dade,Florida,445464
385,12087,Monroe,Florida,6428
386,12089,Nassau,Florida,7976
387,12091,Okaloosa,Florida,19749
388,12093,Okeechobee,Florida,3749
389,12095,Orange,Florida,123683
390,12097,Osceola,Florida,39604
391,80012,Out of FL,Florida,0
392,12099,Palm Beach,Florida,131581
393,12101,Pasco,Florida,36391
394,12103,Pinellas,Florida,72243
395,12105,Polk,Florida,61175
396,12107,Putnam,Florida,6051
397,12113,Santa Rosa,Florida,17744
398,12115,Sarasota,Florida,29359
399,12117,Seminole,Florida,30052
400,12109,St. Johns,Florida,21337
401,12111,St. Lucie,Florida,23985
402,12119,Sumter,Florida,8790
403,12121,Suwannee,Florida,5215
404,12123,Taylor,Florida,2694
405,90012,Unassigned,Florida,3561
406,12125,Union,Florida,1774
407,12127,Volusia,Florida,38265
408,12129,Wakulla,Florida,3248
409,12131,Walton,Florida,7315
410,12133,Washington,Florida,2673
411,13001,Appling,Georgia,2255
412,13003,Atkinson,Georgia,994
413,13005,Bacon,Georgia,1600
414,13007,Baker,Georgia,224
415,13009,Baldwin,Georgia,4406
416,13011,Banks,Georgia,1751
417,13013,Barrow,Georgia,9472
418,13015,Bartow,Georgia,13935
419,13017,Ben Hill,Georgia,2056
420,13019,Berrien,Georgia,1789
421,13021,Bibb,Georgia,15344
422,13023,Bleckley,Georgia,1428
423,13025,Brantley,Georgia,1569
424,13027,Brooks,Georgia,1366
425,13029,Bryan,Georgia,3451
426,13031,Bulloch,Georgia,6611
427,13033,Burke,Georgia,2473
428,13035,Butts,Georgia,2868
429,13037,Calhoun,Georgia,576
430,13039,Camden,Georgia,3831
431,13043,Candler,Georgia,924
432,13045,Carroll,Georgia,10937
433,13047,Catoosa,Georgia,5889
434,13049,Charlton,Georgia,1337
435,13051,Chatham,Georgia,22143
436,13053,Chattahoochee,Georgia,3476
437,13055,Chattooga,Georgia,2693
438,13057,Cherokee,Georgia,29522
439,13059,Clarke,Georgia,14598
440,13061,Clay,Georgia,234
441,13063,Clayton,Georgia,24760
442,13065,Clinch,Georgia,938
443,13067,Cobb,Georgia,74036
444,13069,Coffee,Georgia,5235
445,13071,Colquitt,Georgia,4582
446,13073,Columbia,Georgia,16238
447,13075,Cook,Georgia,1774
448,13077,Coweta,Georgia,13567
449,13079,Crawford,Georgia,652
450,13081,Crisp,Georgia,2018
451,13083,Dade,Georgia,1350
452,13085,Dawson,Georgia,2913
453,13089,DeKalb,Georgia,61295
454,13087,Decatur,Georgia,2838
455,13091,Dodge,Georgia,2066
456,13093,Dooly,Georgia,1056
457,13095,Dougherty,Georgia,7243
458,13097,Douglas,Georgia,14278
459,13099,Early,Georgia,1152
460,13101,Echols,Georgia,461
461,13103,Effingham,Georgia,4387
462,13105,Elbert,Georgia,2260
463,13107,Emanuel,Georgia,2514
464,13109,Evans,Georgia,938
465,13111,Fannin,Georgia,2277
466,13113,Fayette,Georgia,8533
467,13115,Floyd,Georgia,11622
468,13117,Forsyth,Georgia,21096
469,13119,Franklin,Georgia,2592
470,13121,Fulton,Georgia,91721
471,13123,Gilmer,Georgia,2843
472,13125,Glascock,Georgia,262
473,13127,Glynn,Georgia,7806
474,13129,Gordon,Georgia,7906
475,13131,Grady,Georgia,2052
476,13133,Greene,Georgia,1772
477,13135,Gwinnett,Georgia,96854
478,13137,Habersham,Georgia,4974
479,13139,Hall,Georgia,26334
480,13141,Hancock,Georgia,897
481,13143,Haralson,Georgia,2533
482,13145,Harris,Georgia,2470
483,13147,Hart,Georgia,2313
