FIPS,AREA_SQMI,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,EP_UNINSUR,num_beds,dem_pct,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,first_yr_cases,E_TOTPOP,case_pct
28019,418.1958056,23.3,8.9,20589.0,19.6,20.9,22.2,25.9,5.9,32.5,0.0,1.5,24.0,2.8,7.7,1.9,0.8818,0.8895,0.8799,0.8351,3.4863,0.928,0.7545,0.4756,0.9771,0.1573,2.3645,0.7736,0.7176,0.0,0.7176,0.3448,0.2798,0.8631,0.7249,0.7584,0.4728,3.099,0.8074,9.6674,0.8541,8.5,50.0,28.060620412029362,85.24451414,60.75045849,70.60491187,63.07562906,85.56587008,81.487655,94.3,7.142857143,90.67229007,69.81721199,62.80525647,18434.0,76.92656685,79.80692736,77.49046975,73.34501121,74.92249059,62.38087329,69.94880339,723,8321,8.688859512077874
28037,563.9632774,16.5,6.4,22769.0,15.7,18.7,24.0,16.0,9.9,36.8,0.1,0.0,32.9,1.4,3.9,1.3,0.6194,0.6545,0.7497,0.6883,2.7119,0.728,0.5635,0.7262,0.5517,0.7584,2.5998,0.886,0.7695,0.0707,0.8402,0.4155,0.0,0.9592,0.2964,0.1971,0.2582,1.7109,0.1592,7.8628,0.5717,11.1,25.0,33.17641784353284,86.26975062,71.94119898,70.57101893,34.88651644,83.39741481,82.67499144,92.8,4.895104895,84.52637626,68.3442877,63.4745511,22769.0,81.13021792,78.81534825,70.23804129,78.18546391,82.08723038,75.16041284,69.9673228,806,7757,10.39061492845172
28067,694.8114066,21.4,6.4,22836.0,16.7,16.1,25.5,16.9,12.0,35.2,1.1,1.8,21.9,2.6,5.9,2.7,0.8328,0.6545,0.7455,0.7313,2.9641,0.7968,0.2983,0.8586,0.6256,0.9172,2.6997,0.9233,0.7494,0.6087,1.3581,0.7237,0.3391,0.8259,0.6864,0.5294,0.625,3.0058,0.766,10.0277,0.892,10.7,310.0,28.3041440962414,86.90884385,63.67277324,66.57673524,61.70540251,83.98826874,76.52524256,93.9,9.131403118,86.00920299,68.12241349,85.15798631,20957.0,78.68701675,80.41116989,71.92171782,66.5907774,76.45530457,67.68035046,69.74906967,8247,68454,12.047506354632308
28073,496.6743877,16.5,9.7,28934.0,9.2,12.7,25.2,15.1,9.9,25.6,0.5,7.7,10.8,2.2,5.0,0.6,0.6194,0.9287,0.3096,0.2853,2.143,0.5545,0.0914,0.8411,0.4629,0.7584,2.1538,0.6199,0.6415,0.3582,0.9997,0.511,0.8195,0.4912,0.5801,0.3715,0.0541,2.3164,0.3919,7.6129,0.5306,12.3,211.0,25.76794804282956,88.15092362,64.81202993,67.79313541,65.98139747,85.42371911,82.33279788,95.5,9.379727685,86.33529466,67.6990467,84.00848299,28101.0,77.78477669,80.69761848,73.61643812,78.38138597,74.33643793,67.26834728,66.79232162,6053,61223,9.886807245642977
28075,703.6548988,21.8,6.7,23741.0,14.5,16.3,23.8,18.9,11.7,47.3,0.5,4.7,14.5,2.8,8.5,4.3,0.8446,0.6968,0.6828,0.6316,2.8558,0.7653,0.32,0.695,0.7714,0.9019,2.6883,0.921,0.865,0.3582,1.2232,0.6402,0.6819,0.6355,0.7249,0.8284,0.774,3.6447,0.9688,10.412,0.9283,12.3,698.0,41.47598169424265,86.00919387,68.42480763,67.19543252,63.94196073,85.11841403,78.89228027,94.1,8.875128999,88.66027632,70.24053342,85.04416665,21575.0,75.54561057,77.15371735,73.1480089,70.60083569,76.39822958,68.91357382,68.60581479,7064,77323,9.135703477619854
28077,430.67733,19.4,8.9,21809.0,16.8,17.2,24.5,14.7,8.5,34.8,0.2,0.7,28.0,2.7,4.9,0.0,0.7624,0.8895,0.8118,0.7351,3.1988,0.8608,0.4091,0.7854,0.425,0.5597,2.1792,0.6374,0.7434,0.1477,0.8911,0.4438,0.1188,0.9144,0.7065,0.3572,0.0,2.0969,0.2926,8.366,0.6634,13.7,25.0,34.17510963254196,88.03441003,66.48659939,71.68434189,57.5668417,83.76979368,82.47062286,92.9,11.5942029,84.89467262,64.84643024,82.54341103,20700.0,76.07162617,78.13890634,74.1650797,74.39943578,81.99330417,72.78457059,69.73122903,1251,12630,9.90498812351544
28085,586.1314817,22.0,7.4,21892.0,13.4,16.3,24.3,15.6,10.6,32.8,0.1,0.9,27.8,2.1,6.2,2.0,0.8503,0.779,0.807,0.5715,3.0078,0.8054,0.32,0.766,0.51,0.83,2.426,0.8109,0.7221,0.0707,0.7928,0.3887,0.1512,0.9128,0.5498,0.5788,0.4995,2.6921,0.6033,8.9187,0.7586,13.1,99.0,29.998214392000477,87.51909273,64.62702143,68.41387869,47.56556218,84.28330517,81.69415405,94.3,12.21910112,85.62473447,68.17916961,62.72737253,19418.0,77.55414142,79.31456804,73.16250889,72.62177255,76.14380277,66.63056055,71.49923223,3848,34432,11.175650557620818
28131,445.4845351,17.1,4.8,21931.0,19.7,15.4,22.1,18.2,8.5,23.8,0.1,0.3,21.3,5.6,3.3,4.0,0.6583,0.3838,0.8051,0.8379,2.6851,0.7191,0.242,0.4642,0.7205,0.5597,1.9864,0.4725,0.6195,0.0707,0.6902,0.3301,0.0551,0.8118,0.9414,0.121,0.7561,2.6854,0.5985,8.0471,0.6045,13.4,25.0,22.873825844122873,85.25101502,67.2149664,63.34738861,46.54711934,83.53611791,58.51260603,93.3,15.89147287,84.11729317,69.37462321,78.73977132,19588.0,81.93513335,78.32919925,73.34907703,55.45999535,70.29420064,63.70533757,66.20853719,1771,18375,9.63809523809524
28137,404.7632772,19.7,7.6,23542.0,18.4,15.7,23.4,15.0,10.0,35.5,0.9,1.3,21.9,4.9,5.2,6.8,0.7777,0.7971,0.6968,0.7883,3.0599,0.8197,0.2665,0.6406,0.4543,0.7679,2.1293,0.5979,0.7526,0.5492,1.3018,0.6921,0.2416,0.8259,0.9198,0.4082,0.8688,3.2643,0.8768,9.7553,0.865,11.9,76.0,31.94836935767204,87.96303311,63.95646871,71.11479998,61.21170018,85.36754842,78.71070549,94.2,7.671957672,87.69409194,69.83051205,81.17976792,20948.0,77.05311485,77.58518816,74.38222111,72.62439351,77.54882758,66.42348999,67.53323399,3194,28493,11.20977082090338
28139,457.8222245,19.7,7.7,20180.0,22.4,16.1,24.7,19.6,10.2,22.8,0.5,1.2,26.6,3.3,5.3,1.5,0.7777,0.8051,0.8997,0.9112,3.3937,0.9054,0.2983,0.8017,0.8093,0.7905,2.6998,0.9236,0.603,0.3582,0.9612,0.4906,0.2216,0.8994,0.809,0.4225,0.3457,2.6982,0.6068,9.7529,0.8646,11.8,25.0,19.174420906751138,86.24287658,63.68154643,68.65621142,64.26269194,82.69582539,80.49967973,94.5,6.775067751,84.98147736,66.15681906,63.26259538,19453.0,80.29114061,78.10328997,67.50292339,58.09594321,72.94870226,66.25303784,72.03762192,2830,21990,12.86948613005912
