,AREA_SQMI,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,EP_UNINSUR,num_beds,dem_pct,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,first_yr_cases,E_TOTPOP,case_pct
EP_MINRTY,0.14571949017910774,0.45047126773238716,0.4299234362694923,-0.20084561769237141,0.5024534426203952,-0.38297156522524967,0.29104467091490854,-0.06476114474209949,0.5492886200217949,1.0,0.5644330830039603,0.18729869909779576,0.19707788046614086,0.566771066280842,0.3393687642059759,0.1714285916029977,0.3962436548571416,0.40158392766328976,0.2753605031766154,0.4684679760745663,0.4496781682548193,0.4416211881591945,-0.4178980387112998,0.27015825417030137,-0.056665780607725494,0.49872478332903963,0.16239044566497085,0.17900497573279717,0.9252534424513074,0.49127037056908235,0.7923190145196111,0.784769106235257,0.07864636115155914,0.1529112089512851,0.5007902319141236,0.31569028196455984,0.08478344317298062,0.4711714234580188,0.47562947216422585,0.6345712033341178,0.6211443023294598,0.519869556068005,0.25777993492814294,0.5244589050240163,0.2427849599146082,-0.11066993014218415,0.07854202605060322,-0.043653614116589516,0.17335400774602394,-0.0032798152436177654,-0.2983853950131998,0.12321429009706855,-0.059476981862118056,-0.025289346423244218,-0.05903761618789206,-0.20148755795845585,-0.2550469236115549,0.14851542319556113,0.1355332204910846,0.017800107592957446,0.046560933268055625,0.039477185651206,-0.059066223497827954,0.23647464433416807,0.2474797459893596,0.1557004214086491
EP_LIMENG,0.17902011335880258,0.06646468775453196,0.035090812482022074,0.014021635800448825,0.44874622365528216,-0.297813672658317,0.3083018044735695,-0.21869183379176318,0.19381070716085488,0.5644330830039603,1.0,0.2482394324466522,-0.037234879369397435,0.618199763692035,0.11905753240571834,0.03691285150740743,0.05782265213203068,0.046935648476231835,0.034949083770210984,0.31754497501418905,0.13343795957338475,0.13095498433796085,-0.3270303044349261,0.271430633468559,-0.2292797954035916,0.1780177748987965,-0.05974460544736209,-0.047991506615587605,0.4971641561099541,0.6871374054814289,0.6691288509678445,0.6493191451024829,0.14365010611316353,-0.06050413328485792,0.4508755300983708,0.021765607328631992,-0.037792265247291706,0.2155883643417917,0.22125671137395767,0.30049816110727673,0.2877477488970085,0.39099770264703737,0.27593510949642946,0.20962239509978908,-0.05251021426471783,0.06642895659773175,0.0494123004953827,-0.06266208651814358,-0.10657513957194323,-0.04686100843749655,-0.03804892421520594,0.10365484115814007,-0.06140017497644018,-0.021147643777182264,0.012025628924556853,0.013398545868569813,-0.05671388922829716,0.1722648623417813,-0.05596453776400101,0.014697349250456664,0.031898429933961,0.07179809416691502,0.014255662808886307,0.2967869911883913,0.3044725309895355,0.126988465347198
EP_MUNIT,0.010708278904162273,-0.15767308582531023,-0.08753975862582034,0.5125460740331791,-0.28267959095161804,-0.35153209570568505,-0.04279264568318279,-0.4350183117958844,0.061647319989535286,0.18729869909779576,0.2482394324466522,1.0,-0.4426155981007674,0.1178032013239729,0.35062787359177444,-0.0010758558533559314,-0.16063441527173705,-0.0821616738572697,-0.43118602547119955,-0.30383952952840915,-0.2847062711837324,-0.2846957190098855,-0.3826696757060318,-0.030990106134402676,-0.44748030273231015,0.06161622338545826,-0.43979066882630286,-0.3848401619424192,0.22179597136242934,0.32255288719294317,0.30771929791135016,0.304298260138174,0.7651046445869444,-0.5027756652461138,0.09646290268165536,0.1586275962094771,0.10547869922281548,0.26248302117085287,0.2674250977824657,-0.08248652417437885,-0.09326169947664313,-0.16296506925682436,0.5438484792935393,0.5602737537932997,-4.997297100302423e-05,0.19264472268248584,-0.0029107578287399945,0.1350715326718443,0.006771567913136315,0.054489194588306464,0.2024998205404839,0.10319580705820182,0.07054002780534964,0.0613862020371752,0.15162746179972714,0.49629971074564444,-0.20398641544672072,0.28075274662353156,-0.2532455006541737,0.04626632524898542,0.005761044958094359,0.0830259880416763,-0.015917573308577602,0.4489364369711452,0.5067742391555128,0.004527806239451738
EP_MOBILE,0.07145204620036018,0.5351085485002677,0.39877387939224135,-0.5763498782449953,0.5808147436062812,0.11787834049392898,-0.05464180397659232,0.5511267649496762,0.1207962790297972,0.19707788046614086,-0.037234879369397435,-0.4426155981007674,1.0,0.17127763817713929,0.07092465762608569,0.10919383840319231,0.5467925948370714,0.40517295379037827,0.6303403852023735,0.6163890988142989,0.6408326659062835,0.6377914209134473,0.12250458247252277,-0.06789272407264084,0.5482407306864014,0.11145792207641268,0.39468987526264604,0.40825953028610645,0.17076324412923063,-0.10718849152954135,0.03242672062218199,0.03723025776655429,-0.5547558671442054,0.94871299240812,0.24354436960715622,0.1468036337878368,-0.043582366992295486,0.30518610018633824,0.28816040066142085,0.5318829671009022,0.539339590307267,0.3905269231930617,-0.2443401824879406,-0.26116444661316823,0.17807498235657665,-0.25918875282977966,0.10183433162241544,-0.1291188877450555,0.15363268018245074,0.00812137947735483,-0.4544289757017515,0.03961144342745254,-0.10164753859523531,-0.06032664063884599,-0.22057223254359906,-0.575715616909587,0.1003509385063979,-0.11820580106885067,0.3091475163006083,-0.01305769209486622,0.06106601710423224,-0.03624643701726199,-0.04524812632323928,-0.2076291257404306,-0.2353354392847094,-0.007380033333500602
EP_CROWD,0.23504378352443467,0.330097234781535,0.26378744586524583,-0.20120960828129866,0.4745839644301135,-0.33193395767803574,0.42874941438193687,-0.05199904769070681,0.3791038408370475,0.566771066280842,0.618199763692035,0.1178032013239729,0.17127763817713929,1.0,0.1725110726537093,0.008863338849836441,0.28762652112004566,0.24018072245009112,0.2557544142664488,0.4276907536733026,0.3532053261738224,0.3492478177479408,-0.35147332577141727,0.36220687875284135,-0.054196925935291615,0.31855112310476796,0.15069222390148937,0.17123740474431626,0.49248492134395705,0.4300939140067014,0.5187056188717063,0.5053572831564093,0.011753997752862894,0.17559237644807985,0.8355267707686329,0.107259888043933,-0.052653597627809225,0.4473372226121293,0.43941433201939795,0.5039764165371788,0.492230038875543,0.5084611714599641,0.17082222291758453,0.15050239927768447,0.020617364739652616,-0.02139502300517623,0.07807497109254793,-0.09854909522334693,-0.0515155341100092,-0.020327591358724084,-0.18927059395486207,0.1277559945501212,-0.1099945182027805,-0.03030918319547496,-0.06319947130756239,-0.20361088298332042,-0.053313150952586194,0.08456611064778623,0.03136442148532283,0.02989072948566456,0.058550571242368524,0.05537006523894668,0.016896815214887513,0.2139575591558681,0.20878879660131638,0.16929151371765366
EP_NOVEH,-0.08328900956913374,0.4725425927515773,0.39608408229532077,-0.17897266198557366,0.31200321329985614,-0.1302546271061816,-0.06440849512137409,0.1872430726571272,0.3549358549233906,0.3393687642059759,0.11905753240571834,0.35062787359177444,0.07092465762608569,0.1725110726537093,1.0,0.14524540847215084,0.43700534140147324,0.3740842930625994,0.26007569610260156,0.3140646276099856,0.40401271559258883,0.3948286869112581,-0.12423087611443608,-0.07291570799368668,0.1668355310519471,0.31893135175425325,0.16066783328495934,0.1886789984980653,0.2560927323134123,0.04940039376130877,0.16950368667416515,0.16581783844127,0.14516593068406247,0.024328625857158455,0.13734930639993148,0.7778877707186722,0.19564237498599044,0.5328543690184137,0.530858662932681,0.4694839149418622,0.45826798722417644,0.09858603121531359,0.2923852522530417,0.39329788468379095,0.11678791283878728,-0.09991339421098658,0.08447601123457725,-0.04323016324001545,0.0925528264419314,0.0006246060063146926,-0.34303657038162133,-0.13263427395069172,-0.04647949461624802,0.032955906431449196,-0.09014272752571931,-0.1950562595831243,0.030201488364503527,0.04946137009713005,0.051095390293435246,-0.04224447311050549,0.011387387377100827,0.028960143697474783,-0.016875904918840175,0.18327949393067466,0.20833544595832584,-0.005353384959028684
EP_GROUPQ,0.030589289181275982,0.19030787145735215,0.07827890993464841,-0.2411910985338767,0.16300277763888452,-0.14005300051031416,-0.31253025188800393,0.041424269573670174,0.08696111095191496,0.1714285916029977,0.03691285150740743,-0.0010758558533559314,0.10919383840319231,0.008863338849836441,0.14524540847215084,1.0,0.18083689461064184,0.0678127047522764,0.2573791110946657,0.1443241509472882,0.1893969430557296,0.18622035701867184,-0.15159454200379457,-0.31132440358377683,0.0507119239073449,0.07860396742239616,-0.18112730886087136,-0.15902887049630024,0.17979868619454725,0.03644641745436112,0.12002001407672341,0.11774705488705672,0.016240740862937742,0.094437880006085,0.01540946105550915,0.18402416652655657,0.7313015793696673,0.43660302390284306,0.4353677538973419,0.22888838408827467,0.2217523086058613,0.054717389098733,-0.0519907390482719,0.07255645028448983,0.018726288351609985,-0.09350367905414195,-0.0007295005109228127,-0.11575715263885188,0.03050318590200317,-0.03084097592173665,-0.07616791437589393,-0.09018487151245468,-0.05754600354026975,-0.019543447345151982,-0.08005452772155193,-0.24228492135764998,0.010921663413593559,-0.014629964959041229,0.05955954569347873,-0.010876362469057614,-0.027404750597812153,-0.05007198765559868,-0.014980452058874341,-0.05992600816228976,-0.06713686829703787,0.11858334320323335
EPL_POV,0.0034754258097528124,0.9403326603378329,0.6179799637815346,-0.7290461391471091,0.6211396550410869,-0.06316033332175632,0.013833881775984212,0.5515428968005998,0.48073823549014666,0.3962436548571416,0.05782265213203068,-0.16063441527173705,0.5467925948370714,0.28762652112004566,0.43700534140147324,0.18083689461064184,1.0,0.6446680022302773,0.7935172571472509,0.6734786248088639,0.9070724717078851,0.9064375599511707,-0.057894399100220734,-0.004744173573899355,0.556207728664143,0.46836552473361037,0.531868578920633,0.5832176351329127,0.34267499415145947,-0.025396328582802993,0.17418335897536483,0.17457703658791626,-0.24491245564241274,0.5524483775934331,0.3364114712362564,0.5693924102463015,0.18473812776555526,0.5803446133915522,0.5768327609179467,0.8309672832506081,0.8352022114563951,0.42594806742652086,-0.01297535600583348,0.04569609366448816,0.1924617449331095,-0.28764503064576036,0.12725291369720648,-0.137134293596128,0.159919655221079,4.146520155565431e-05,-0.576156314299165,-0.0689139776615596,-0.09071718908261113,-0.03771051234287175,-0.18907871456290942,-0.7294956756418921,0.07075244883851804,-0.05473708302420695,0.3300813694890563,-0.0387179145379098,0.06711728549524212,-0.007115713896617615,-0.06054649495390658,-0.0468602718060588,-0.0685472858801555,0.08895587663927995
EPL_UNEMP,0.024048674139743945,0.6221397664832123,0.9226135953728098,-0.4665380346071206,0.45092647747757764,-0.08587302248928594,-0.03714536078831358,0.4798429996120633,0.41639869131087826,0.40158392766328976,0.046935648476231835,-0.0821616738572697,0.40517295379037827,0.24018072245009112,0.3740842930625994,0.0678127047522764,0.6446680022302773,1.0,0.5254786385638106,0.5054000097614998,0.7804903353806306,0.7773746286462088,-0.10099203995091026,-0.05014665237963779,0.481096540635698,0.40421850665868775,0.4065723154786615,0.4319070580783642,0.3755945575351322,0.029368447440155085,0.22381920370953498,0.22552239467658725,-0.12048811756852333,0.3978533287745814,0.2812258473792267,0.4754901771070144,0.055554889474362316,0.4520966476443111,0.4439278668008818,0.7048029534484597,0.7033161470705798,0.24804515140204586,0.07426941134421011,0.20823060966928322,0.20980113156367242,-0.2297699811184019,0.12130810005475502,-0.03195806996780788,0.19781199525792287,0.05618054943800641,-0.6313529949780713,0.027372009339914898,-0.0883329998235204,-0.02685930837155792,-0.09754812276154902,-0.47843192710500965,0.025528463243307643,0.055347207018416195,0.24469910205699308,-0.024829105277893983,0.08841858787164737,0.004910065821557097,-0.045122183463623386,0.05264959634191915,0.05458398339490618,-0.0887340355118509
EPL_PCI,-0.016044815395868828,0.7671862951535439,0.5206352438563462,-0.9174746097762622,0.7061185004774185,-0.007947566501572176,0.11678191133883423,0.6178989249832403,0.3546710988423647,0.2753605031766154,0.034949083770210984,-0.43118602547119955,0.6303403852023735,0.2557544142664488,0.26007569610260156,0.2573791110946657,0.7935172571472509,0.5254786385638106,1.0,0.7407673954680657,0.8915562201531435,0.8909453070750482,0.019284779602458085,0.08890067326218654,0.6279137063379224,0.33114683251967725,0.5889298984088543,0.6131165724223815,0.19224251329399497,-0.1138773887404227,0.04041304947061248,0.03865823377349005,-0.47762522607953034,0.6557548380012161,0.29254147006416736,0.39081293803769274,0.15488310971551458,0.42076790004032866,0.4080578915934803,0.747754643532339,0.7497934692429916,0.4565169351963365,-0.22857697369109897,-0.23320245976487555,0.13948076826785388,-0.35113162447481877,0.09466504726229975,-0.239023250929695,0.10317148925400377,-0.05034192615080575,-0.5293116400573609,-0.11331693100091825,-0.11046306971810062,-0.06510055786810565,-0.25851872695031886,-0.8962643141017064,0.1543281275267941,-0.1727943536330236,0.3942396209423898,-0.06299889821510427,0.06871152389280576,-0.046485731194909154,-0.042145812081115105,-0.19973150947038057,-0.24257529243634737,0.15110442360743984
