FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,EP_UNINSUR,E_TOTPOP,AREA_SQMI
10001,13.6,5.9,28100.0,12.9,16.3,23.2,14.5,10.9,37.8,1.4,7.3,12.3,2.0,6.5,3.0,0.4169,0.5669,0.3643,0.5438,1.8919,0.4764,0.32,0.6176,0.4075,0.8548,2.1999,0.6558,0.7791,0.6718,1.4509,0.7819,0.8026,0.561,0.518,0.6199,0.6686,3.1701,0.8373,8.7128,0.7268,7.0,174822,585.806361
12019,10.6,7.5,29138.0,8.9,14.9,23.8,13.6,9.6,26.6,1.8,4.4,12.9,2.0,2.7,0.7,0.2239,0.7895,0.2978,0.2607,1.5719,0.3739,0.205,0.695,0.3091,0.7198,1.9289,0.4285,0.6507,0.7326,1.3833,0.7424,0.6571,0.5807,0.518,0.0726,0.0729,1.9013,0.2206,6.7854,0.3803,10.4,207291,604.7806326
12033,13.9,6.5,26730.0,9.2,16.2,20.9,15.0,6.3,35.4,1.1,11.0,7.1,1.3,5.8,5.8,0.4344,0.6697,0.4643,0.2853,1.8537,0.4653,0.3098,0.3091,0.4543,0.2069,1.2801,0.0891,0.7514,0.6087,1.3601,0.7256,0.8975,0.34,0.2604,0.5142,0.8408,2.8529,0.6896,7.3468,0.4863,10.2,311522,656.9697353
12089,10.2,4.7,35335.0,8.6,20.9,20.1,16.0,8.3,12.6,0.6,6.2,18.2,1.3,4.0,1.0,0.201,0.3634,0.085,0.2362,0.8856,0.164,0.7545,0.2254,0.5517,0.5234,2.055,0.5368,0.4155,0.4187,0.8342,0.411,0.7631,0.737,0.2604,0.2114,0.1525,2.1244,0.3031,5.8992,0.2459,11.0,80578,648.6801841
12101,13.5,6.5,27786.0,11.0,22.5,20.4,16.2,8.0,24.4,1.9,6.3,19.5,1.8,5.5,1.5,0.4115,0.6697,0.3889,0.4231,1.8932,0.4774,0.8421,0.255,0.5686,0.4712,2.1369,0.6043,0.6272,0.7491,1.3763,0.7361,0.7673,0.7695,0.4457,0.4677,0.3457,2.7959,0.66,8.2023,0.6344,11.8,510593,746.668206
12109,8.4,4.9,41393.0,5.4,19.2,21.9,11.3,6.1,16.9,0.6,9.9,7.2,0.9,2.6,1.0,0.0997,0.3981,0.0322,0.049,0.579,0.0777,0.6113,0.4323,0.1369,0.1812,1.3617,0.1149,0.5142,0.4187,0.9329,0.4747,0.8758,0.3432,0.1223,0.063,0.1525,1.5568,0.1124,4.4304,0.0761,8.4,235503,600.7135477
12113,9.8,5.6,30904.0,8.4,15.4,22.2,15.9,8.6,17.4,0.7,3.7,10.9,1.8,3.1,3.7,0.1742,0.5172,0.215,0.2232,1.1296,0.2436,0.242,0.4756,0.547,0.5775,1.8421,0.3642,0.5234,0.4642,0.9876,0.5059,0.5931,0.4963,0.4457,0.1022,0.7335,2.3708,0.4225,6.3301,0.3096,10.0,170442,1012.3789908
13015,13.2,5.6,25712.0,17.0,13.4,24.7,14.2,10.0,22.1,1.9,5.9,11.8,2.8,4.2,0.9,0.3908,0.5172,0.5417,0.7424,2.1921,0.5717,0.1238,0.8017,0.3763,0.7679,2.0697,0.5511,0.5922,0.7491,1.3413,0.7151,0.7507,0.5384,0.7249,0.242,0.1165,2.3725,0.4238,7.9756,0.5914,14.8,103620,459.5210992
13039,12.9,7.3,28509.0,8.2,12.2,24.5,12.1,11.6,30.1,0.5,4.7,10.9,2.4,4.7,3.4,0.3736,0.7726,0.3411,0.2095,1.6968,0.415,0.071,0.7854,0.192,0.8975,1.9459,0.4422,0.694,0.3582,1.0522,0.5425,0.6819,0.4963,0.6313,0.32,0.7103,2.8398,0.6823,7.5347,0.5159,11.7,52714,630.3011883
13045,18.8,7.9,24155.0,16.3,13.1,24.0,14.7,10.2,29.4,1.4,4.8,11.2,1.8,5.3,3.0,0.7395,0.8232,0.6471,0.7147,2.9245,0.7869,0.1079,0.7262,0.425,0.7905,2.0496,0.5301,0.6883,0.6718,1.3601,0.7256,0.6874,0.5103,0.4457,0.4225,0.6686,2.7345,0.6272,9.0687,0.7825,12.2,116022,499.0275164
