FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE
5129,7870,23.62,47.81,28.56
5131,126838,29.83,45.27,24.9
5133,16978,22.95,47.66,29.39
5135,17417,18.09,43.57,38.35
5137,12482,26.38,41.47,32.15
5139,38496,29.83,43.6,26.56
5141,16495,19.62,40.29,40.09
5143,232362,32.92,45.3,21.79
5145,76082,28.69,47.99,23.32
5147,6312,17.84,46.42,35.74
5149,21314,22.23,49.54,28.23
6001,1651538,32.17,50.57,17.26
6003,1129,12.84,57.75,29.41
6005,35620,24.15,50.54,25.31
6007,216365,29.61,48.61,21.77
6009,45621,25.29,52.39,22.32
6011,21421,23.95,50.48,25.57
6013,1150025,34.7,48.83,16.47
6015,24980,25.53,50.83,23.63
6017,192285,34.3,47.03,18.67
6019,988669,23.49,50.0,26.5
6021,28163,26.8,54.29,18.91
6023,132753,27.03,49.99,22.98
6025,173325,19.17,49.83,31.01
6027,17882,21.62,49.47,28.91
6029,872675,23.88,48.78,27.35
6031,139108,23.45,51.81,24.74
6033,63990,23.16,49.55,27.29
6035,23121,26.82,50.04,23.15
6037,9949102,25.17,52.92,21.92
6039,150717,21.54,53.57,24.89
6041,253478,34.02,48.41,17.58
6043,17066,21.46,46.85,31.68
6045,86116,22.24,51.29,26.47
6047,272333,24.21,52.7,23.1
6049,8685,24.67,49.82,25.5
6051,14385,24.66,50.66,24.68
6053,421328,22.6,55.69,21.72
6055,136367,30.53,50.46,19.01
6057,99421,26.37,52.74,20.89
6059,3154014,29.85,52.41,17.74
6061,397084,38.89,45.04,16.07
6063,18630,25.85,51.31,22.84
6065,2449184,28.55,52.14,19.3
6067,1539857,32.7,47.74,19.56
6069,62781,27.03,51.93,21.04
6071,2160610,27.2,52.31,20.49
6073,3298811,31.58,50.76,17.66
6075,871443,31.76,48.28,19.95
6077,752585,26.98,51.72,21.3
6079,270379,30.19,49.45,20.36
6081,764562,33.91,50.15,15.94
6083,430385,25.52,52.72,21.77
6085,1911462,34.17,50.46,15.38
6087,262577,29.22,52.24,18.54
6089,178899,30.01,47.49,22.5
6091,3005,14.48,55.04,30.48
6093,43157,24.98,46.78,28.24
6095,439199,33.31,48.64,18.05
6097,489836,31.14,50.95,17.92
