FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
8071,4772.9360029,14179,8544,6477,2426,500,25118,1270,3253,2547,2939,467,6708,224,202,920,128,618,822,1263,14210
8075,1838.5976436,21689,9098,8183,3117,462,25776,1540,3647,4637,2931,597,4819,629,699,859,226,695,1049,1929,19379
8077,3328.9325589,149998,65878,61033,22978,5856,28518,10188,26902,33006,21783,5561,27692,1485,3544,6785,1382,2860,3493,15076,141691
8083,2029.3278374,25909,12313,10615,4140,597,25161,1921,5353,5799,4446,787,7082,141,235,2332,320,255,265,3324,22410
8085,2240.9451042,41268,18857,17125,6812,1306,25803,3304,9249,9090,6929,980,9874,1440,714,3275,459,957,517,4457,35241
8093,2193.901611,17392,14449,7119,947,513,35939,401,3322,3009,1996,166,1885,12,3,574,65,132,126,1256,9184
8099,1638.396294,12052,5976,4963,2218,443,21612,1399,2066,3031,2145,529,4880,473,110,767,187,280,379,1292,11078
8101,2386.0782464,164685,70928,63762,30467,6252,24257,11814,29234,37702,30797,6683,78626,1470,5655,4133,1480,4890,4363,11231,155851
8103,3220.9690783,6465,3382,2403,701,160,27057,301,935,1663,665,141,983,86,199,275,71,62,352,516,6162
8119,557.0425744,24113,13126,10183,1980,791,34392,769,4875,4368,3465,645,2618,110,315,1234,183,181,134,2166,19215
8121,2518.0826483,4840,2406,2030,480,64,26680,254,944,1108,538,171,611,44,20,185,44,97,295,229,3059
9005,920.5123234,183031,88153,73987,12650,5379,42443,9986,36456,34394,19976,4365,20133,2483,4491,294,737,3942,3073,7637,140721
9007,369.3041514,163368,76124,66892,10909,4384,45293,6918,31052,30095,17458,4394,25672,1892,6819,823,692,3637,6000,5366,140896
9011,665.1443741,268881,123001,107402,26140,8740,38109,15250,46320,53209,33086,10188,64696,5658,10651,3149,1386,6618,12339,10953,253113
9015,512.9281962,116538,49644,44449,11691,3983,31106,9192,18257,23519,15708,4442,19743,2624,2134,1449,684,3160,5374,4513,94434
10001,585.806361,174822,70576,64545,22968,4961,28100,14930,28461,40611,24906,7005,66135,2217,5174,8704,1320,4206,5288,11970,168100
12019,604.7806326,207291,79765,73398,21831,7550,29138,12535,30931,49378,27874,7024,55063,3498,3474,10312,1439,1968,1367,21169,148724
12033,656.9697353,311522,140523,118740,40780,9373,26730,19107,50472,65253,44394,7473,110237,3133,15520,9984,1560,6923,17996,30245,295725
12089,648.6801841,80578,37991,31241,8167,1794,35335,5083,16835,16160,12725,2594,10193,446,2359,6930,396,1247,802,8791,67353
12101,746.668206,510593,240220,199227,67545,14468,27786,40540,114764,104180,81812,15969,124785,8997,15063,46795,3498,11038,7578,59805,410315
12109,600.7135477,235503,103522,86268,19660,5554,41393,9024,45239,51545,26398,5286,39697,1440,10210,7484,798,2245,2416,19615,194332
12113,1012.3789908,170442,70389,61345,16119,4366,30904,10001,26193,37910,25635,5247,29596,1185,2607,7664,1075,1909,6266,16146,131497
13015,459.5210992,103620,40694,37351,13490,2855,25712,11720,13851,25577,14592,3753,22919,1835,2420,4813,1055,1555,904,15237,96943
13039,630.3011883,52714,21837,19327,6546,1692,28509,2709,6436,12939,5910,2251,15856,234,1023,2385,460,902,1778,5699,44968
13045,499.0275164,116022,45253,41150,21088,4380,24155,11868,15152,27861,16877,4210,34072,1539,2159,5088,758,2185,3479,14058,107927
13047,162.1623941,66299,27220,24636,6425,1301,26915,5727,11119,15397,9701,1508,5850,327,553,3139,264,878,569,7906,50055
13057,421.0827875,241910,89932,85825,19423,5465,35199,13931,31100,61214,23885,5928,49800,5883,6554,3371,1466,2376,1572,26240,172656
13073,290.0758117,147295,56178,46840,12954,3568,32509,7185,18706,37822,16427,3787,44958,2124,2352,3541,438,1145,485,11429,103023
13077,440.9317724,140516,53747,51308,15417,3397,32542,10498,18483,35330,14914,4583,40146,2416,3514,1884,839,2207,505,14516,113685
13085,210.828004,23861,11140,8711,2045,468,32646,2376,4659,5006,3490,371,1776,157,225,1123,175,183,174,2639,22536
13113,194.3715005,111369,42106,39753,6190,2780,42126,3926,19089,26071,10655,2623,41121,1341,1773,1015,343,1035,568,8047,97793
13115,509.8223959,96824,40505,35633,17670,2753,25058,12190,15636,22672,14534,3545,27927,2348,2446,3588,955,3026,4133,13028,101295
13123,426.2129348,29922,16991,11645,4842,743,25812,3951,6989,5904,5979,629,4169,1046,251,3300,220,616,239,6375,26172
13127,419.5507097,83974,42682,33777,15105,2222,31493,7039,15794,18920,13028,3555,30520,1275,3627,4297,679,2201,1465,11732,84160
13143,282.1651119,28956,12403,11128,4422,626,24444,3799,4522,7026,5228,1239,2590,98,207,2464,198,519,361,3526,24784
13145,463.8472111,33590,14020,12158,2261,1169,34511,2166,5861,7347,5994,848,7715,43,113,1115,162,357,561,2577,22699
13147,232.4210854,25631,13107,10019,4295,509,22361,3598,5456,5379,4997,848,6431,210,118,3241,98,535,878,2812,20738
13153,376.0568179,151682,62266,56146,23412,5156,28196,9032,18488,39001,19607,6518,65445,1638,3024,4915,1765,2601,1633,17455,148156
13157,339.666148,65755,24876,22034,7168,1496,27115,7216,9475,16773,8840,1739,11842,1179,382,3793,336,1016,751,7807,61825
13169,393.9384961,28548,11796,10510,4238,966,25725,2472,4748,6760,4171,955,8098,0,47,2520,139,508,274,3287,18586
13187,282.9419059,31951,13473,11649,5249,732,24790,3270,5337,5767,5006,895,2988,367,343,2734,150,379,1478,3697,30817
13207,396.0914043,27010,11039,9803,3615,995,34669,2858,4736,5652,3717,537,7614,151,320,2059,191,481,1038,3074,21932
13211,347.4040911,18235,7679,6656,1883,493,30587,1691,3449,4102,2749,411,5181,192,72,1037,55,316,170,2131,17696
13227,232.058082,30832,13922,11841,2928,892,30567,3376,6417,6362,4922,597,3926,80,335,2147,259,544,343,3419,25072
13231,216.0856704,18082,6931,6106,2320,529,26737,1599,2759,4320,2258,236,2387,9,39,901,80,207,250,2333,12145
13233,310.3302493,41621,16986,15011,7367,1141,23233,5737,6270,10793,6403,1577,11651,1312,359,1608,473,1161,224,6334,35929
13295,446.3899976,68824,30288,25709,11902,2015,23311,8731,12448,15231,12303,2249,6134,265,914,3817,625,1146,1439,8921,51472
13297,326.7894077,90132,33407,31133,11500,2599,26545,7618,13518,22738,10865,3222,22239,602,275,2653,508,989,814,9995,70897
13299,899.1722879,35599,16623,13901,7828,472,20457,4127,5895,8546,5773,1567,12983,81,449,3264,239,1171,2477,5113,38648
13311,240.7432438,28928,16194,11588,3918,539,25617,3059,6215,5841,4717,605,2199,217,202,2647,122,277,407,3604,22305
16001,1052.007575,446052,176693,168741,47982,8847,33352,14497,60097,109147,44581,12098,67221,5323,14450,7082,2341,6431,8392,36345,447046
16017,1733.210905,42711,25050,17584,6200,681,27590,2891,9803,8535,7036,1088,2845,77,1338,3188,357,766,434,4908,38746
16021,1268.681749,11549,5416,4605,1909,180,25401,641,2433,2740,1640,200,1094,81,184,593,133,119,112,2199,10182
16023,2236.4857944,2602,1390,1050,413,60,25941,97,566,587,412,50,76,0,56,179,18,37,46,318,9275
16025,1074.2337907,886,777,357,206,12,30803,39,208,221,129,18,10,8,0,106,5,3,0,114,687
16039,3075.077475,26433,12441,10285,3513,729,23547,1738,3415,6758,3330,930,7141,682,232,1348,199,491,676,2816,21731
16045,559.7693553,17052,7281,6583,3091,313,20776,1425,3627,3983,3311,621,2069,188,229,854,121,336,136,2885,12467
16055,1237.778872,153605,69325,60497,18370,3838,29429,7923,27653,35654,20519,5469,14147,389,4464,5799,1075,2229,1808,15658,144608
16069,848.3200788,40155,17739,16302,5687,922,27753,2153,7788,8700,7008,1541,5208,167,845,1653,363,1019,1040,4080,42538
16085,3665.1146692,10401,12228,3461,1023,187,30838,438,2437,1898,2034,161,300,2,385,1225,16,199,185,1515,10335
17001,855.1405722,66427,30202,27300,7874,1620,29347,3417,12969,15033,8990,2351,5418,118,1324,1232,285,2063,1477,3050,67636
17007,280.7623276,53606,20065,18731,5843,1888,30725,4835,7928,13707,6055,2048,14236,1828,765,983,609,758,348,3361,44071
17011,869.0833791,33381,15705,13805,4152,900,29126,1981,7023,7258,4445,1331,3999,400,569,405,172,739,435,1620,28166
17013,253.8245826,4858,2882,1805,601,110,27314,328,1113,1019,918,80,147,1,10,333,25,99,124,137,3253
17015,445.0431973,14562,8463,6476,1589,467,28053,913,3544,2841,2019,385,983,53,302,381,32,332,252,878,10988
17021,709.4917108,33231,15616,13939,4078,530,26166,2656,6335,6843,3894,1299,1626,61,693,786,167,734,1743,1541,28670
17023,501.4287508,15836,7797,6774,1960,526,29887,999,3019,3641,2573,628,542,36,98,809,106,178,217,855,12110
17027,474.0036682,37628,15780,14190,3205,650,31240,2693,6110,7992,5089,1059,3186,104,410,1783,211,753,2236,1707,31439
17029,508.2875258,51736,23526,21139,10323,1519,26790,3140,8335,9357,7836,2054,4656,224,2420,1205,235,1725,3948,3200,54806
17035,345.9200069,10865,4873,4322,1501,184,25622,789,2042,2481,1797,308,357,12,49,536,67,193,127,510,7435
17039,397.5517452,16042,7569,6663,1739,472,29402,1019,2943,3498,1907,512,848,70,226,367,98,235,270,761,13557
17045,623.3843598,17539,8816,7590,2125,533,27701,1362,3683,3644,2784,797,529,76,205,521,59,585,335,955,15521
17047,222.4186861,6507,3194,2776,659,196,26908,384,1333,1515,1095,191,222,26,39,557,37,161,53,362,5689
17049,478.7550244,34174,14864,13555,3901,709,30255,1718,5756,8076,4312,1090,1394,261,645,1094,266,767,476,1836,37940
17053,485.5966726,13398,6367,5779,2048,353,28002,934,2495,3062,2085,563,825,41,181,129,48,297,397,815,12061
17055,408.9200896,39127,18617,16135,7517,1438,23510,3391,7756,8691,8008,1580,1600,41,474,2189,242,1330,467,2532,31309
17057,865.7013468,35418,16310,14090,5414,1085,25538,3056,6939,7084,4892,1542,2869,308,637,494,205,890,2549,1991,28620
17061,543.0197814,13218,6429,5005,1848,249,23946,1139,2484,2781,2138,419,472,6,7,646,61,240,286,827,9496
17063,418.0878256,50509,20761,19398,4389,1338,33308,2320,6697,12936,4706,1487,6807,418,940,886,238,745,326,2105,46706
17065,434.6336863,8221,4100,3376,771,119,27795,670,1725,1824,1586,221,301,16,39,698,24,162,110,506,5460
17067,793.7183884,18112,9247,7420,2132,536,26880,893,4066,3785,2457,501,677,35,135,601,89,359,277,536,13747
17073,822.999059,49464,22180,20023,5784,1243,29014,3397,9839,11114,6225,1445,4641,372,946,433,118,1112,737,2158,39885
17075,1117.405336,28169,13492,11779,3849,785,26976,2157,5893,6167,4313,868,2794,327,323,476,198,565,455,1672,21439
17079,494.6135208,9598,4333,3656,1223,188,25536,716,1794,2207,1938,194,272,56,59,500,55,213,72,694,6852
17081,571.206622,38169,16971,15223,6523,1284,25770,3739,6974,8446,6884,1515,5466,118,1064,2890,211,1243,2550,2045,42077
17083,369.2854579,22069,10125,8665,1944,451,28924,1264,4109,4631,2907,498,907,132,271,535,83,432,997,1157,15458
17091,676.4974447,111061,45515,40050,15794,3231,27164,8846,17609,25959,15078,4079,30913,1407,2289,2976,653,3265,5532,6393,104257
17099,1135.1847972,110401,50129,44644,14458,3734,29093,8762,19959,24035,14350,3998,15677,1153,2073,2015,522,2759,3338,5283,99787
17105,1043.626277,36324,15897,14320,4680,930,28236,2722,6662,7841,5312,1513,3906,95,679,887,210,1027,2374,1726,33635
17111,603.4074415,307789,118132,111812,21649,7565,38047,14873,41446,74431,28854,8030,56802,7172,4646,854,1665,4073,1710,16505,236285
17115,580.5754376,106512,50464,44113,16645,4262,28925,7117,20179,23754,15950,4444,25053,273,4610,1267,488,4323,3675,5067,109733
17117,862.919451,45719,21710,18772,5965,1571,28050,2902,8756,9793,6820,1487,1753,90,392,1616,222,830,916,1982,33220
17119,716.0490622,265670,119056,107413,35625,9236,30802,14564,43747,58568,36664,9073,39158,943,5795,3452,1517,7201,5519,13560,239676
17123,386.8227872,11794,5906,4893,1272,348,29827,614,2679,2374,1521,308,617,23,50,190,40,156,285,431,9560
17125,539.3055682,13778,7049,6027,2080,526,27111,1111,2992,2855,2368,560,470,1,57,605,58,320,233,646,10588
17127,237.2176726,14430,7153,6011,2550,332,23768,1414,3040,3200,2991,533,1665,22,151,1325,146,471,333,638,11768
