FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,AREA_SQMI
1035,12022,30.19,34.26,35.54,26,58.0,46.04875019406924,88.49635561,62.71825626,68.3678853,47.80832968,84.35350223,62.0229379,91.4,11.01694915,89.2817614,70.50176824,82.04894416,16004.0,76.96322532,76.12459599,78.41680847,71.86111136,78.44929804,65.03977122,70.08080695,850.1996364
1037,10511,26.91,39.3,33.78,24,0.0,32.779704325606865,85.2435923,62.83489391,67.97330415,59.79663669,82.72119149,77.25830035,93.9,6.779661017,85.01127454,67.00588439,85.03542235,18080.0,81.12144886,78.20995878,71.81431331,66.36921104,72.96082454,67.66540468,68.76759066,650.9103714
1039,36877,27.36,40.85,31.79,111,210.0,15.611015490533564,89.21516646,62.17399926,67.45256532,63.4552954,83.93558381,79.45285665,93.0,11.08433735,89.49484248,68.29198719,83.70717224,21738.0,76.98901928,74.09045132,77.26821552,65.96464008,76.99523151,64.19274948,71.8682224,1030.5560529
1041,13772,25.72,41.41,32.87,57,65.0,25.691400936980507,88.41507624,63.63099959,67.51118146,45.02424757,82.96892574,79.96853457,94.0,6.694560669,89.45710228,69.01903273,79.27076034,20455.0,76.50612611,76.43701588,75.40606569,72.91414339,74.55355946,67.8873475,69.76438759,608.8646296
1043,83277,31.22,44.23,24.55,186,145.0,10.699863802537571,84.5196641,61.04491165,68.25237684,60.7870615,82.30543314,81.94395036,94.9,9.993510707,88.03931719,68.79373883,80.06042296,21041.0,80.65231476,78.36166617,90.90909091,20.0,76.9851165,68.23682256,33.33333334,734.7802988
1045,49090,28.75,42.95,28.3,109,89.0,26.193130003039823,85.60007855,62.8320498,67.04730365,60.57216116,83.74555956,80.35932303,94.1,9.375,86.93718172,66.24481127,84.00862887,22834.0,78.63897934,79.48097594,75.2209091,67.95049515,77.2280402,67.5783298,71.92450065,561.1006284
1047,36952,25.38,40.38,34.25,148,175.0,68.46171070309002,91.46956808,66.34437386,70.56366031,63.37089836,88.06891963,84.45519932,90.6,9.236031927,84.80774571,69.96127926,80.32275263,17611.0,77.21043183,79.01940662,78.69817881,72.99101856,77.86160644,66.05520388,69.82126618,978.737527
1049,71306,32.12,40.27,27.61,179,134.0,14.583049461779536,85.23817697,65.26586284,68.47236627,60.12422332,81.71797237,79.84470755,93.8,11.71735242,85.22280333,68.92915405,84.57040215,18685.0,80.4116767,79.29148232,76.57316813,72.18604819,78.53524819,70.98401301,73.23904724,777.0984139
1051,77512,37.57,39.17,23.26,202,138.0,25.26687789422374,85.4995249,64.2400416,67.18730413,64.05281692,83.56396339,79.47966524,95.1,11.72839506,86.350783,66.81422176,83.71805386,24771.0,78.33021196,77.77267969,75.76307367,63.00910591,76.75107236,67.34968336,69.75164614,618.4462511
1053,34309,26.77,41.85,31.38,74,142.0,30.91137649277184,88.32025938,63.44099374,65.28029887,43.45182772,83.53943923,60.07722678,93.3,9.056603774,89.35117751,72.47041027,82.13572019,17420.0,77.13615341,74.99535632,78.75891807,70.49317732,74.56279591,62.09533236,66.83905742,945.2221437
